









Frequency of observations in the selected location(s).:
Number of taxa: 	344

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Common Merganser (<em class="sci">Mergus merganser</em>)	0.005291	0.0	0.0072464	0.0	0.0234375	0.0202703	0.015873	0.0050505	0.0153846	0.0178571	0.0	0.0177515	0.0149254	0.0	0.0033445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169492	0.0	0.0	0.0	0.0	0.0	0.0	0.0051546	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.010989	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0072464	0.0072993	0.0052632	
Common/Red-breasted Merganser (<em class="sci">Mergus merganser/serrator</em>)	0.005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
merganser sp. (<em class="sci">Mergellus/Lophodytes/Mergus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Duck (<em class="sci">Oxyura jamaicensis</em>)	0.3703704	0.3655172	0.5942029	0.5864979	0.6640625	0.6891892	0.6243386	0.6818182	0.6846154	0.5625	0.4251969	0.3964497	0.2686567	0.1126761	0.1237458	0.1417625	0.0619469	0.0517241	0.0617284	0.0689655	0.1276596	0.1374046	0.0762712	0.1061947	0.0709677	0.1069959	0.0848057	0.0415335	0.0641711	0.0206186	0.047619	0.0390879	0.0104712	0.0629921	0.0148148	0.0432099	0.0526316	0.043956	0.0413793	0.0802139	0.0214286	0.0490798	0.13125	0.1421801	0.1550388	0.2028986	0.2262774	0.2789474	
duck sp. (<em class="sci">Anatidae (duck sp.)</em>)	0.026455	0.0137931	0.0217391	0.0295359	0.015625	0.0202703	0.031746	0.010101	0.0384615	0.0357143	0.0	0.0	0.0223881	0.0140845	0.006689	0.0076628	0.0088496	0.0086207	0.0	0.0086207	0.0106383	0.0305344	0.0169492	0.0176991	0.0967742	0.037037	0.0318021	0.0255591	0.0641711	0.056701	0.0680272	0.1140065	0.1204188	0.1574803	0.1037037	0.0493827	0.0789474	0.0494505	0.1103448	0.0320856	0.05	0.0245399	0.0125	0.042654	0.0310078	0.0289855	0.0437956	0.0210526	
California Quail (<em class="sci">Callipepla californica</em>)	0.005291	0.0068966	0.0144928	0.0042194	0.015625	0.0135135	0.005291	0.0	0.0	0.0	0.007874	0.0059172	0.0223881	0.0	0.0	0.0153257	0.0176991	0.0086207	0.0123457	0.0258621	0.0	0.0	0.0169492	0.0176991	0.0193548	0.0205761	0.0070671	0.0031949	0.0106952	0.0103093	0.0136054	0.0032573	0.0	0.007874	0.0074074	0.0	0.0175439	0.0164835	0.0068966	0.0106952	0.0	0.0	0.00625	0.0	0.0077519	0.0072464	0.0	0.0052632	
Wild Turkey (<em class="sci">Meleagris gallopavo</em>)	0.0	0.0068966	0.0	0.0084388	0.0	0.0	0.005291	0.010101	0.0076923	0.0089286	0.007874	0.1005917	0.0671642	0.056338	0.0234114	0.045977	0.0265487	0.0948276	0.0987654	0.0948276	0.0531915	0.0229008	0.0338983	0.0442478	0.0258065	0.0	0.0070671	0.0127796	0.0160428	0.0051546	0.0	0.009772	0.0015	0.007874	0.0148148	0.0	0.0175439	0.010989	0.0	0.0106952	0.0071429	0.0122699	0.0	0.0	0.0	0.0	0.0	0.0052632	
Ring-necked Pheasant (<em class="sci">Phasianus colchicus</em>)	0.1693122	0.1586207	0.1956522	0.1940928	0.2734375	0.2635135	0.1851852	0.2525253	0.3538462	0.4285714	0.480315	0.6627219	0.6268657	0.6760563	0.6722408	0.6475096	0.5486726	0.7413793	0.7037037	0.5517241	0.6170213	0.6946565	0.5762712	0.6283186	0.483871	0.3786008	0.4028269	0.2939297	0.3796791	0.4020619	0.4013605	0.3583062	0.3403141	0.4015748	0.3555556	0.3209877	0.3684211	0.2692308	0.2758621	0.2673797	0.2928571	0.2392638	0.21875	0.2606635	0.2945736	0.2028986	0.2481752	0.2473684	
Indian Peafowl (<em class="sci">Pavo cristatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.6031746	0.5448276	0.5289855	0.5189873	0.6015625	0.5810811	0.6084656	0.5959596	0.6615385	0.5803571	0.6692913	0.6923077	0.6716418	0.6267606	0.5585284	0.6091954	0.5663717	0.5948276	0.5308642	0.5948276	0.5425532	0.5954198	0.5338983	0.6283186	0.6451613	0.5925926	0.5865724	0.5878594	0.5508021	0.5257732	0.5714286	0.4495114	0.4973822	0.488189	0.5555556	0.4814815	0.5701754	0.5769231	0.6206897	0.5347594	0.6	0.5398773	0.48125	0.5829384	0.5426357	0.5217391	0.6058394	0.5210526	
Band-tailed Pigeon (<em class="sci">Patagioenas fasciata</em>)	0.0	0.0	0.0072464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059172	0.0	0.0	0.0	0.0	0.0	0.0086207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0155039	0.0	0.0	0.0	
Eurasian Collared-Dove (<em class="sci">Streptopelia decaocto</em>)	0.005291	0.0068966	0.0217391	0.0126582	0.0390625	0.0135135	0.015873	0.0252525	0.0153846	0.0446429	0.023622	0.035503	0.0223881	0.0422535	0.0200669	0.0383142	0.0707965	0.0603448	0.0617284	0.0603448	0.1170213	0.0839695	0.059322	0.1327434	0.0645161	0.0576132	0.04947	0.057508	0.0053476	0.0257732	0.0340136	0.0488599	0.026178	0.0472441	0.0074074	0.0555556	0.0350877	0.021978	0.0068966	0.0160428	0.0285714	0.006135	0.0	0.0047393	0.0077519	0.0144928	0.0291971	0.0105263	
Mourning Dove (<em class="sci">Zenaida macroura</em>)	0.2380952	0.2137931	0.2463768	0.1940928	0.2265625	0.277027	0.2380952	0.3383838	0.3615385	0.4017857	0.4488189	0.5680473	0.5149254	0.6056338	0.5886288	0.6704981	0.7699115	0.7241379	0.7901235	0.6724138	0.8085106	0.7862595	0.7711864	0.8230088	0.7870968	0.7160494	0.6784452	0.7571885	0.6524064	0.7061856	0.6530612	0.6091205	0.4712042	0.511811	0.4148148	0.3950617	0.4561404	0.2252747	0.2551724	0.2620321	0.2285714	0.196319	0.1875	0.1658768	0.2945736	0.2463768	0.1824818	0.1842105	
Lesser Nighthawk (<em class="sci">Chordeiles acutipennis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0054945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Poorwill (<em class="sci">Phalaenoptilus nuttallii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033445	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Vaux's Swift (<em class="sci">Chaetura vauxi</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070423	0.0133779	0.0114943	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068027	0.0032573	0.0052356	0.0	0.0148148	0.0061728	0.0087719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-throated Swift (<em class="sci">Aeronautes saxatalis</em>)	0.0634921	0.0827586	0.0724638	0.0042194	0.015625	0.0135135	0.021164	0.0454545	0.0230769	0.0446429	0.0629921	0.0473373	0.0074627	0.0422535	0.0334448	0.0191571	0.0088496	0.0344828	0.0617284	0.0172414	0.0319149	0.0305344	0.0254237	0.0088496	0.0129032	0.0288066	0.0141343	0.0127796	0.0106952	0.0515464	0.0272109	0.029316	0.0104712	0.015748	0.0148148	0.0185185	0.0087719	0.010989	0.0068966	0.0053476	0.0142857	0.0	0.0	0.0015	0.0077519	0.0434783	0.0510949	0.1157895	
Black-chinned Hummingbird (<em class="sci">Archilochus alexandri</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0114943	0.0	0.0258621	0.0	0.0	0.0	0.0	0.0169492	0.0	0.0	0.0	0.0035336	0.0095847	0.0106952	0.0412371	0.0136054	0.0130293	0.0104712	0.007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anna's Hummingbird (<em class="sci">Calypte anna</em>)	0.042328	0.0206897	0.0507246	0.0590717	0.0625	0.0472973	0.037037	0.0505051	0.0538462	0.0535714	0.0314961	0.0946746	0.0597015	0.0422535	0.0869565	0.0842912	0.0530973	0.112069	0.1604938	0.137931	0.0638298	0.0687023	0.0932203	0.079646	0.0516129	0.0411523	0.024735	0.0511182	0.0641711	0.1082474	0.1020408	0.0553746	0.0418848	0.0866142	0.0962963	0.0493827	0.0789474	0.021978	0.0206897	0.0213904	0.0285714	0.0184049	0.03125	0.0236967	0.0310078	0.0217391	0.0145985	0.0157895	
Rufous Hummingbird (<em class="sci">Selasphorus rufus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0191571	0.0176991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106952	0.0	0.0	0.0065147	0.0052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rufous/Allen's Hummingbird (<em class="sci">Selasphorus rufus/sasin</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hummingbird sp. (<em class="sci">Trochilidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007874	0.0118343	0.0	0.0	0.0	0.0114943	0.0088496	0.0086207	0.0123457	0.0	0.0106383	0.0076336	0.0084746	0.0	0.0	0.0082305	0.0070671	0.0127796	0.0	0.0103093	0.0340136	0.009772	0.0	0.007874	0.0074074	0.0246914	0.0087719	0.0	0.0	0.0	0.0	0.006135	0.0	0.0	0.0	0.0	0.0218978	0.0	
Virginia Rail (<em class="sci">Rallus limicola</em>)	0.1746032	0.1586207	0.1304348	0.185654	0.25	0.1148649	0.1375661	0.1464646	0.1230769	0.1875	0.2283465	0.2248521	0.1940299	0.1901408	0.1638796	0.1494253	0.0530973	0.0948276	0.0740741	0.0086207	0.0744681	0.0458015	0.059322	0.0884956	0.0322581	0.037037	0.0600707	0.0415335	0.0695187	0.0670103	0.2312925	0.1172638	0.1937173	0.1259843	0.1555556	0.1604938	0.2192982	0.1373626	0.2	0.2352941	0.2785714	0.2760736	0.21875	0.1990521	0.2170543	0.2463768	0.3211679	0.1684211	
Rallus sp. (<em class="sci">Rallus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0129032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sora (<em class="sci">Porzana carolina</em>)	0.1746032	0.137931	0.1666667	0.1308017	0.1171875	0.1081081	0.1058201	0.1363636	0.1230769	0.1339286	0.1259843	0.183432	0.2089552	0.3028169	0.3244147	0.2720307	0.0265487	0.0344828	0.0123457	0.0172414	0.0106383	0.0229008	0.0084746	0.0	0.0193548	0.0041152	0.0106007	0.0191693	0.0427807	0.0257732	0.1360544	0.0781759	0.1099476	0.1023622	0.0666667	0.117284	0.1842105	0.1538462	0.2068966	0.2406417	0.2785714	0.3128834	0.1875	0.1706161	0.1937984	0.2028986	0.1751825	0.1789474	
Common Gallinule (<em class="sci">Gallinula galeata</em>)	0.1957672	0.2206897	0.173913	0.185654	0.2421875	0.1418919	0.1640212	0.1515152	0.1692308	0.1696429	0.1811024	0.1715976	0.1791045	0.1338028	0.1906355	0.1724138	0.1150442	0.1206897	0.1111111	0.1465517	0.212766	0.0610687	0.1016949	0.0884956	0.0709677	0.0699588	0.0812721	0.1086262	0.0695187	0.0927835	0.1496599	0.1465798	0.1256545	0.1102362	0.0962963	0.1296296	0.1578947	0.1648352	0.1862069	0.2032086	0.1071429	0.208589	0.1625	0.1469194	0.2325581	0.1449275	0.2116788	0.1157895	
American Coot (<em class="sci">Fulica americana</em>)	0.968254	0.9241379	0.9637681	0.9156118	0.9453125	0.9459459	0.9153439	0.959596	0.9461538	0.9375	0.9370079	0.964497	0.9701493	0.915493	0.916388	0.908046	0.7522124	0.612069	0.5925926	0.4655172	0.4255319	0.4198473	0.279661	0.3628319	0.283871	0.2798354	0.2791519	0.1916933	0.1871658	0.1443299	0.2653061	0.1596091	0.104712	0.3937008	0.5185185	0.537037	0.7280702	0.8021978	0.7931034	0.7860963	0.8571429	0.8834356	0.875	0.9383886	0.9302326	0.884058	0.9343066	0.8842105	
rail/crake sp. (<em class="sci">Rallidae sp. (rail/crake sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0129032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sandhill Crane (<em class="sci">Antigone canadensis</em>)	0.1005291	0.0965517	0.0724638	0.0590717	0.078125	0.0608108	0.1428571	0.2373737	0.1846154	0.1875	0.0551181	0.035503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032573	0.0015	0.007874	0.0888889	0.1666667	0.2894737	0.2252747	0.1862069	0.1818182	0.15	0.1656442	0.15625	0.1279621	0.1007752	0.0869565	0.0656934	0.0894737	
Black-necked Stilt (<em class="sci">Himantopus mexicanus</em>)	0.6455026	0.5517241	0.6449275	0.5316456	0.5703125	0.5202703	0.6349206	0.7222222	0.7769231	0.8035714	0.8425197	0.8284024	0.8283582	0.7746479	0.6856187	0.5823755	0.4690265	0.3793103	0.308642	0.2241379	0.2553191	0.3587786	0.3898305	0.4513274	0.4774194	0.5390947	0.434629	0.4504792	0.4705882	0.3969072	0.4829932	0.4364821	0.5497382	0.4645669	0.562963	0.4135802	0.5263158	0.3846154	0.4	0.3475936	0.4571429	0.4969325	0.58125	0.535545	0.7054264	0.6086957	0.6131387	0.5526316	
American Avocet (<em class="sci">Recurvirostra americana</em>)	0.1058201	0.0965517	0.3188406	0.278481	0.3359375	0.4121622	0.4761905	0.5151515	0.4769231	0.5535714	0.6299213	0.6863905	0.7761194	0.7605634	0.8294314	0.7547893	0.6371681	0.5258621	0.4567901	0.3189655	0.4680851	0.4885496	0.4830508	0.4955752	0.4322581	0.4156379	0.360424	0.3769968	0.3743316	0.2886598	0.3333333	0.2508143	0.3246073	0.0629921	0.0962963	0.037037	0.0350877	0.021978	0.0206897	0.0374332	0.0642857	0.0981595	0.04375	0.0853081	0.2093023	0.1231884	0.1313869	0.1368421	
Black-bellied Plover (<em class="sci">Pluvialis squatarola</em>)	0.0582011	0.062069	0.2246377	0.278481	0.3671875	0.2432432	0.3439153	0.489899	0.3230769	0.2767857	0.2519685	0.183432	0.3059701	0.2042254	0.2006689	0.1226054	0.0265487	0.0258621	0.0	0.0	0.0106383	0.0229008	0.0	0.0	0.0322581	0.1152263	0.1978799	0.2683706	0.1764706	0.1494845	0.1292517	0.1889251	0.1518325	0.0314961	0.037037	0.191358	0.0789474	0.0659341	0.0827586	0.0802139	0.1357143	0.0552147	0.04375	0.0331754	0.1085271	0.0869565	0.0583942	0.0578947	
American Golden-Plover (<em class="sci">Pluvialis dominica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0689655	0.1122995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pacific Golden-Plover (<em class="sci">Pluvialis fulva</em>)	0.010582	0.0137931	0.0	0.0	0.0	0.0472973	0.0634921	0.020202	0.0153846	0.0178571	0.007874	0.0118343	0.0	0.0	0.0033445	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041152	0.0	0.0223642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142857	0.006135	0.0	0.0236967	0.0775194	0.0	0.0145985	0.0105263	
American/Pacific Golden-Plover (Lesser Golden-Plover) (<em class="sci">Pluvialis dominica/fulva</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-bellied Plover/golden-plover sp. (<em class="sci">Pluvialis sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Killdeer (<em class="sci">Charadrius vociferus</em>)	0.5714286	0.4896552	0.673913	0.5780591	0.6171875	0.6351351	0.6984127	0.7626263	0.7230769	0.7321429	0.7165354	0.739645	0.7686567	0.8028169	0.7892977	0.7969349	0.7522124	0.6810345	0.8024691	0.6724138	0.7765957	0.6030534	0.6186441	0.7168142	0.6774194	0.7119342	0.7102473	0.600639	0.4545455	0.4742268	0.4421769	0.6416938	0.4816754	0.6456693	0.6962963	0.7654321	0.7894737	0.7582418	0.8275862	0.7700535	0.7571429	0.7668712	0.61875	0.6682464	0.6666667	0.5434783	0.6277372	0.5052632	
Common Ringed Plover (<em class="sci">Charadrius hiaticula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Semipalmated Plover (<em class="sci">Charadrius semipalmatus</em>)	0.0	0.0	0.0	0.0042194	0.0	0.0	0.0	0.0050505	0.0153846	0.0	0.0	0.0059172	0.0373134	0.1971831	0.451505	0.51341	0.2300885	0.0258621	0.0123457	0.0	0.0106383	0.0	0.0	0.0	0.0774194	0.3292181	0.5123675	0.4632588	0.4010695	0.2989691	0.2585034	0.3387622	0.1937173	0.0866142	0.0148148	0.0493827	0.0	0.0015	0.0	0.0213904	0.0015	0.0	0.0	0.0047393	0.0077519	0.0	0.0	0.0	
Common Ringed/Semipalmated Plover (<em class="sci">Charadrius hiaticula/semipalmatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snowy Plover (<em class="sci">Anarhynchus nivosus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211268	0.0535117	0.0536398	0.0088496	0.0	0.0015	0.0	0.0106383	0.0076336	0.0	0.0015	0.0	0.0082305	0.0176678	0.0383387	0.0748663	0.0154639	0.0068027	0.0	0.026178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hudsonian Whimbrel (<em class="sci">Numenius hudsonicus</em>)	0.010582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0153846	0.0089286	0.007874	0.0236686	0.1044776	0.0915493	0.187291	0.1226054	0.0530973	0.0431034	0.0	0.0	0.0	0.0	0.0084746	0.0	0.0193548	0.0493827	0.0883392	0.0351438	0.0053476	0.0051546	0.0136054	0.0162866	0.0	0.015748	0.0074074	0.0	0.0	0.0	0.0068966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-billed Curlew (<em class="sci">Numenius americanus</em>)	0.4920635	0.5517241	0.6086957	0.5485232	0.6640625	0.5067568	0.5502646	0.510101	0.4692308	0.4375	0.4173228	0.3254438	0.3134328	0.2323944	0.3244147	0.2643678	0.1150442	0.1465517	0.1111111	0.0172414	0.0425532	0.0458015	0.0762712	0.0973451	0.2193548	0.2016461	0.2261484	0.1565495	0.1925134	0.1546392	0.1428571	0.2833876	0.1518325	0.1574803	0.0740741	0.1111111	0.1491228	0.1813187	0.2413793	0.3582888	0.5357143	0.595092	0.48125	0.521327	0.5736434	0.4855072	0.5109489	0.4947368	
curlew sp. (<em class="sci">Numenius sp.</em>)	0.0	0.0	0.0	0.0042194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Marbled Godwit (<em class="sci">Limosa fedoa</em>)	0.021164	0.0344828	0.0144928	0.0042194	0.0	0.0	0.0	0.010101	0.0	0.0089286	0.007874	0.0946746	0.0746269	0.0915493	0.090301	0.0383142	0.0088496	0.0086207	0.0	0.0	0.0212766	0.0	0.0084746	0.0176991	0.1677419	0.1728395	0.1413428	0.1373802	0.0588235	0.0309278	0.0612245	0.0423453	0.0052356	0.015748	0.0148148	0.0061728	0.0175439	0.0	0.0	0.0106952	0.0071429	0.0	0.025	0.0094787	0.0	0.0	0.0	0.0	
Short-billed Dowitcher (<em class="sci">Limnodromus griseus</em>)	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0089286	0.0	0.0	0.0223881	0.0352113	0.0635452	0.1187739	0.0265487	0.0086207	0.0	0.0	0.0	0.0	0.0	0.0176991	0.0258065	0.0781893	0.0918728	0.0511182	0.0320856	0.0670103	0.047619	0.1335505	0.0418848	0.007874	0.0222222	0.0061728	0.0350877	0.0	0.0015	0.0	0.0071429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-billed Dowitcher (<em class="sci">Limnodromus scolopaceus</em>)	0.3386243	0.3586207	0.4782609	0.3291139	0.390625	0.3648649	0.4656085	0.5353535	0.5307692	0.5714286	0.503937	0.6390533	0.6343284	0.6126761	0.7056856	0.605364	0.4159292	0.25	0.0493827	0.0015	0.0	0.0076336	0.0084746	0.0353982	0.2129032	0.5432099	0.6961131	0.7028754	0.5187166	0.5618557	0.6054422	0.5798046	0.460733	0.2204724	0.2296296	0.4012346	0.4736842	0.5054945	0.5862069	0.6363636	0.5785714	0.6196319	0.46875	0.4834123	0.3643411	0.4057971	0.3357664	0.2947368	
Short-billed/Long-billed Dowitcher (<em class="sci">Limnodromus griseus/scolopaceus</em>)	0.005291	0.0068966	0.0	0.0	0.0078125	0.0067568	0.005291	0.0050505	0.0	0.0	0.007874	0.0	0.0447761	0.0492958	0.1070234	0.1034483	0.0530973	0.0172414	0.0123457	0.0	0.0	0.0	0.0	0.0	0.0322581	0.1152263	0.1166078	0.0734824	0.0855615	0.0773196	0.0884354	0.0846906	0.0942408	0.023622	0.0222222	0.0679012	0.0877193	0.043956	0.1172414	0.0748663	0.0071429	0.0122699	0.0	0.0	0.0310078	0.0	0.0	0.0105263	
Wilson's Snipe (<em class="sci">Gallinago delicata</em>)	0.2698413	0.2413793	0.2753623	0.2531646	0.234375	0.2094595	0.2328042	0.1969697	0.1846154	0.2232143	0.2047244	0.3136095	0.2462687	0.2887324	0.09699	0.0613027	0.0265487	0.0086207	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0041152	0.0070671	0.0127796	0.0481283	0.0515464	0.0748299	0.0879479	0.0366492	0.0551181	0.0962963	0.2283951	0.2807018	0.3296703	0.4758621	0.4438503	0.4	0.4171779	0.36875	0.3364929	0.372093	0.2971014	0.4817518	0.2526316	
Wilson's Phalarope (<em class="sci">Phalaropus tricolor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211268	0.0100334	0.0114943	0.0442478	0.0086207	0.0123457	0.0086207	0.0212766	0.0305344	0.0508475	0.1150442	0.1419355	0.1975309	0.2791519	0.313099	0.3582888	0.2268041	0.1088435	0.1335505	0.0418848	0.023622	0.0222222	0.0185185	0.0263158	0.0	0.0	0.0	0.0015	0.0	0.0	0.0094787	0.0077519	0.0	0.0	0.0	
Red Phalarope (<em class="sci">Phalaropus fulicarius</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0721649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0094787	0.0	0.0	0.0	0.0	
