









Frequency of observations in the selected location(s).:
Number of taxa: 	344

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.5291005	0.5172414	0.4057971	0.3797468	0.2890625	0.2094595	0.0952381	0.0454545	0.0230769	0.0267857	0.0	0.0	0.0074627	0.0070423	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0064516	0.0	0.0035336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0160428	0.0428571	0.2269939	0.29375	0.436019	0.5116279	0.4855072	0.5547445	0.5947368	
Trumpeter/Tundra Swan (<em class="sci">Cygnus buccinator/columbianus</em>)	0.0	0.0	0.0072464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.00625	0.0047393	0.0	0.0	0.0	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0164609	0.0777385	0.0383387	0.026738	0.0309278	0.0952381	0.0358306	0.2041885	0.0787402	0.0518519	0.0185185	0.0087719	0.0054945	0.0137931	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.010582	0.0068966	0.0144928	0.0042194	0.015625	0.0472973	0.010582	0.0050505	0.0076923	0.0267857	0.015748	0.0414201	0.0223881	0.028169	0.0334448	0.0689655	0.0707965	0.137931	0.1358025	0.1293103	0.0744681	0.0992366	0.1271186	0.1238938	0.083871	0.0493827	0.0706714	0.0383387	0.0106952	0.0670103	0.0272109	0.0390879	0.026178	0.0314961	0.0666667	0.0308642	0.0175439	0.0054945	0.0	0.0213904	0.0	0.006135	0.0	0.0094787	0.0155039	0.0217391	0.0072993	0.0052632	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.1375661	0.1586207	0.1884058	0.1772152	0.203125	0.1081081	0.0740741	0.0909091	0.1461538	0.1607143	0.1968504	0.2485207	0.238806	0.2535211	0.1638796	0.164751	0.0530973	0.0086207	0.0740741	0.0344828	0.0957447	0.0839695	0.059322	0.0973451	0.0580645	0.0452675	0.024735	0.0255591	0.0320856	0.0103093	0.0	0.009772	0.0209424	0.0314961	0.0296296	0.0308642	0.0701754	0.043956	0.062069	0.0962567	0.1142857	0.1411043	0.15625	0.1184834	0.1472868	0.1449275	0.1240876	0.1052632	
Cinnamon Teal (<em class="sci">Spatula cyanoptera</em>)	0.8888889	0.8551724	0.9057971	0.8227848	0.8671875	0.8445946	0.7671958	0.8131313	0.8692308	0.8571429	0.8346457	0.8934911	0.880597	0.8943662	0.7859532	0.8237548	0.6725664	0.6982759	0.617284	0.4827586	0.5957447	0.5343511	0.5932203	0.460177	0.3935484	0.4156379	0.254417	0.2076677	0.2513369	0.2164948	0.3265306	0.2117264	0.1780105	0.3385827	0.3555556	0.4197531	0.5350877	0.5549451	0.6068966	0.7058824	0.7285714	0.7852761	0.84375	0.8436019	0.875969	0.826087	0.9051095	0.8526316	
Blue-winged x Cinnamon Teal (hybrid) (<em class="sci">Spatula discors x cyanoptera</em>)	0.005291	0.0	0.0	0.0	0.015625	0.0	0.0	0.010101	0.0153846	0.0	0.007874	0.0059172	0.0	0.0	0.0033445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052632	
Blue-winged/Cinnamon Teal (<em class="sci">Spatula discors/cyanoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0	0.0	0.0	0.0031949	0.0	0.0051546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.984127	0.9034483	0.9782609	0.92827	0.9453125	0.9391892	0.9153439	0.9545455	0.9230769	0.9107143	0.9448819	0.9585799	0.8955224	0.9225352	0.8595318	0.7662835	0.5840708	0.25	0.308642	0.1982759	0.3510638	0.2366412	0.1525424	0.0707965	0.0967742	0.0823045	0.0600707	0.0479233	0.0855615	0.1752577	0.4013605	0.3159609	0.3717277	0.4015748	0.6074074	0.5802469	0.7192982	0.8351648	0.8275862	0.8502674	0.8571429	0.8773006	0.88125	0.9526066	0.9224806	0.8985507	0.9562044	0.9052632	
Blue-winged Teal x Northern Shoveler (hybrid) (<em class="sci">Spatula discors x clypeata</em>)	0.0	0.0068966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	
Cinnamon Teal x Northern Shoveler (hybrid) (<em class="sci">Spatula cyanoptera x clypeata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	0.8042328	0.7517241	0.8188406	0.7383966	0.7734375	0.7635135	0.7195767	0.7474747	0.8153846	0.8035714	0.7874016	0.8284024	0.7761194	0.7746479	0.7123746	0.7854406	0.6725664	0.6724138	0.617284	0.5344828	0.6489362	0.5954198	0.6271186	0.6283186	0.4451613	0.2880658	0.2120141	0.2204473	0.1871658	0.185567	0.292517	0.2442997	0.2146597	0.3307087	0.4074074	0.4320988	0.6140351	0.6373626	0.6344828	0.6256684	0.6357143	0.7177914	0.65625	0.7393365	0.751938	0.7753623	0.810219	0.6578947	
Northern Shoveler x Gadwall (hybrid) (<em class="sci">Spatula clypeata x Mareca strepera</em>)	0.0	0.0068966	0.0072464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0740741	0.1103448	0.1304348	0.0548523	0.078125	0.0540541	0.0846561	0.0656566	0.0923077	0.0178571	0.0708661	0.0295858	0.0149254	0.0140845	0.0234114	0.0268199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052356	0.007874	0.0	0.0	0.0	0.0	0.0068966	0.0213904	0.0071429	0.0	0.025	0.0047393	0.0232558	0.0144928	0.0875912	0.0526316	
American Wigeon (<em class="sci">Mareca americana</em>)	0.7407407	0.7172414	0.8188406	0.742616	0.7578125	0.7972973	0.7407407	0.7929293	0.7769231	0.7857143	0.7244094	0.7455621	0.6791045	0.6126761	0.3344482	0.2835249	0.1150442	0.1206897	0.0617284	0.0086207	0.0212766	0.0458015	0.0254237	0.0442478	0.0322581	0.0082305	0.0070671	0.0	0.0053476	0.0	0.0136054	0.0162866	0.026178	0.0551181	0.2	0.2469136	0.2368421	0.2747253	0.3310345	0.3315508	0.45	0.4478528	0.4875	0.5118483	0.6046512	0.6666667	0.6788321	0.6842105	
Eurasian x American Wigeon (hybrid) (<em class="sci">Mareca penelope x americana</em>)	0.0	0.0	0.0217391	0.0042194	0.0078125	0.0067568	0.0	0.0050505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0077519	0.0072464	0.0015	0.0052632	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.8042328	0.7586207	0.8913043	0.7679325	0.8125	0.8175676	0.7830688	0.8131313	0.8846154	0.875	0.8897638	0.9349112	0.9328358	0.9295775	0.8896321	0.954023	0.9026549	0.9224138	0.9135802	0.8103448	0.9042553	0.8396947	0.7627119	0.7699115	0.7354839	0.7160494	0.6890459	0.6325879	0.6470588	0.5618557	0.6530612	0.5407166	0.5759162	0.6456693	0.6	0.5987654	0.7631579	0.8406593	0.8275862	0.802139	0.8	0.8466258	0.7625	0.8436019	0.875969	0.8188406	0.8394161	0.7526316	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.973545	0.8896552	0.9710145	0.9198312	0.921875	0.9324324	0.8941799	0.9242424	0.8923077	0.8214286	0.7952756	0.6272189	0.4179104	0.471831	0.361204	0.2988506	0.1681416	0.1034483	0.1111111	0.0948276	0.0957447	0.1068702	0.1440678	0.1946903	0.1677419	0.0576132	0.0600707	0.0383387	0.0427807	0.0927835	0.2176871	0.1661238	0.2146597	0.4173228	0.5555556	0.5308642	0.5526316	0.5714286	0.662069	0.7112299	0.7428571	0.7668712	0.8375	0.9241706	0.8992248	0.8913043	0.9270073	0.9105263	
Green-winged Teal (<em class="sci">Anas crecca</em>)	0.8412698	0.7586207	0.8623188	0.7088608	0.8125	0.7905405	0.7619048	0.8131313	0.7923077	0.8482143	0.8188976	0.8579882	0.7686567	0.8098592	0.6254181	0.4750958	0.0973451	0.0603448	0.0864198	0.0689655	0.0851064	0.0458015	0.0677966	0.0353982	0.0322581	0.0082305	0.0176678	0.0191693	0.0534759	0.1082474	0.2244898	0.1758958	0.2041885	0.2125984	0.3481481	0.308642	0.3684211	0.4065934	0.3862069	0.4652406	0.5357143	0.6503067	0.65625	0.7109005	0.7364341	0.7463768	0.7883212	0.7052632	
teal sp. (<em class="sci">Anatidae sp. (teal sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106383	0.0	0.0	0.0	0.0	0.0041152	0.0	0.0031949	0.0	0.0	0.0	0.0	0.0	0.007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp. (<em class="sci">Anatidae sp. (dabbling duck sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065147	0.0052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canvasback (<em class="sci">Aythya valisineria</em>)	0.1693122	0.2	0.2753623	0.3122363	0.2265625	0.3310811	0.3650794	0.3333333	0.1384615	0.1517857	0.1181102	0.0118343	0.0597015	0.0352113	0.006689	0.0114943	0.0176991	0.0086207	0.0493827	0.0172414	0.0212766	0.0229008	0.0169492	0.0442478	0.0064516	0.0	0.0	0.0	0.0	0.0051546	0.0068027	0.0	0.0	0.0	0.0	0.0123457	0.0087719	0.0054945	0.0344828	0.0534759	0.05	0.1165644	0.05625	0.1279621	0.1937984	0.1666667	0.1021898	0.1105263	
Redhead (<em class="sci">Aythya americana</em>)	0.015873	0.0137931	0.0507246	0.0253165	0.0	0.0608108	0.0634921	0.0505051	0.0076923	0.0089286	0.007874	0.0177515	0.0	0.0070423	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0152672	0.0084746	0.0	0.0064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0263158	0.0	0.0068966	0.0320856	0.0	0.006135	0.00625	0.0094787	0.0077519	0.0072464	0.0218978	0.0210526	
Ring-necked Duck (<em class="sci">Aythya collaris</em>)	0.047619	0.0551724	0.1304348	0.1518987	0.15625	0.1756757	0.2275132	0.2626263	0.2538462	0.2410714	0.2362205	0.2307692	0.119403	0.0774648	0.0200669	0.0229885	0.0088496	0.0086207	0.0246914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052356	0.0	0.0074074	0.0061728	0.0263158	0.010989	0.0137931	0.026738	0.0428571	0.0490798	0.025	0.056872	0.0930233	0.0507246	0.0948905	0.0315789	
Greater Scaup (<em class="sci">Aythya marila</em>)	0.015873	0.0206897	0.0217391	0.0084388	0.015625	0.0135135	0.031746	0.0454545	0.0153846	0.0089286	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047393	0.0	0.0217391	0.0015	0.0	
Lesser Scaup (<em class="sci">Aythya affinis</em>)	0.0899471	0.137931	0.173913	0.2320675	0.25	0.1756757	0.2486772	0.2474747	0.2153846	0.1875	0.1181102	0.0532544	0.0223881	0.0211268	0.0167224	0.0229885	0.0	0.0015	0.0246914	0.0172414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061728	0.0	0.0	0.0	0.0213904	0.0	0.0184049	0.0125	0.0521327	0.0697674	0.0217391	0.0364964	0.0421053	
Greater/Lesser Scaup (<em class="sci">Aythya marila/affinis</em>)	0.0	0.0344828	0.0144928	0.021097	0.0078125	0.0	0.021164	0.0015	0.0	0.0089286	0.0393701	0.0059172	0.0	0.0	0.0	0.0076628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0074074	0.0	0.0	0.0	0.0	0.0	0.0071429	0.0	0.0	0.0094787	0.0	0.0	0.0	0.0052632	
Harlequin Duck (<em class="sci">Histrionicus histrionicus</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Scoter (<em class="sci">Melanitta americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0663507	0.0	0.0	0.0	0.0	
Long-tailed Duck (<em class="sci">Clangula hyemalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0217391	0.0145985	0.0	
Bufflehead (<em class="sci">Bucephala albeola</em>)	0.5502646	0.5586207	0.6594203	0.6160338	0.640625	0.6486486	0.5555556	0.540404	0.4923077	0.3035714	0.1811024	0.112426	0.0746269	0.0140845	0.0234114	0.0344828	0.0088496	0.0172414	0.0	0.0	0.0106383	0.0076336	0.0254237	0.0	0.0	0.0	0.0	0.0	0.0	0.0154639	0.0	0.0032573	0.0	0.0	0.0074074	0.0061728	0.0	0.0	0.0068966	0.0374332	0.1071429	0.2147239	0.225	0.3838863	0.4418605	0.3985507	0.5255474	0.5210526	
Common Goldeneye (<em class="sci">Bucephala clangula</em>)	0.1957672	0.3586207	0.2898551	0.2953586	0.3046875	0.2364865	0.2275132	0.2222222	0.1230769	0.1071429	0.0393701	0.0532544	0.0074627	0.0140845	0.0033445	0.0	0.0442478	0.0	0.0123457	0.0	0.0	0.0152672	0.0932203	0.0530973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106952	0.0	0.0184049	0.06875	0.1990521	0.1860465	0.1811594	0.1824818	0.1578947	
Bufflehead x Common Goldeneye (hybrid) (<em class="sci">Bucephala albeola x clangula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072464	0.0	0.0	
Barrow's Goldeneye (<em class="sci">Bucephala islandica</em>)	0.0	0.0	0.0144928	0.0	0.0	0.0067568	0.005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.0	0.0232558	0.0	0.0	0.0052632	
Hooded Merganser (<em class="sci">Lophodytes cucullatus</em>)	0.0	0.0	0.0	0.0168776	0.0	0.0135135	0.010582	0.030303	0.0153846	0.0	0.007874	0.0118343	0.0149254	0.0070423	0.0033445	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0	0.0061728	0.0	0.0	0.0	0.0106952	0.0071429	0.0368098	0.025	0.0094787	0.0232558	0.0144928	0.0145985	0.0	
